RECID|RTYPE|DOCNO|PRDCD|SINGKAT|DIV|QTY|SJ_QTY|PRICE|GROSS|TOKO|TGL_PB|KONS|PTAG|QTY_MAN|HPB_NO|HPB_QTY|HPB_GROSS|HPB_DATE|PKM_AKH|LENGTH|WIDTH|HEIGHT|MINOR|DOCNO2|TOKO_1|GUDANG|PPN|TANGGAL|TANGGAL2|SHOP|PRICE_IDM|PPNBM_IDM|PPNRP_IDM|ISTYPE|KM|JAMIN|JAMOUT|NO_SJ|SCTYPE 
|B|800845|20092550|YOYIC YGRT STRAW 140|52|0|0|9500.000000|0|F0GE|11-05-2020|||0|0|0|0||6||||2|||G009|0||||0|0|0||||||| 
|B|800845|20092551|YOYIC YGRT MNGO 140|52|0|0|9500.000000|0|F0GE|11-05-2020|||0|0|0|0||6||||2|||G009|0||||0|0|0||||||| 
|B|800845|20092553|YOYIC LYCHEE 200ML|52|0|0|8500.000000|0|F0GE|11-05-2020|||0|0|0|0||6||||2|||G009|0||||0|0|0||||||| 
|B|800845|20092554|YOYIC ORIGINAL 200ML|52|0|0|8500.000000|0|F0GE|11-05-2020|||0|0|0|0||6||||2|||G009|0||||0|0|0||||||| 
|B|800845|20093505|YOFORIA BRY SMTH 200|52|0|0|8800.000000|0|F0GE|11-05-2020|||0|0|0|0||6||||2|||G009|0||||0|0|0||||||| 
|B|800845|20093508|YOFORIA BLUEBRY 200|52|0|0|8800.000000|0|F0GE|11-05-2020|||0|0|0|0||6||||2|||G009|0||||0|0|0||||||| 
|B|800845|20094913|KIN YOGURT LYCH 200|52|2|0|9600.000000|19200|F0GE|11-05-2020|||0|0|0|0||10||||2|||G009|0||||0|0|0||||||| 
|B|800845|20095317|GRNFIELDS YOG STR250|52|0|0|8500.000000|0|F0GE|11-05-2020|||0|0|0|0||12||||2|||G009|0||||0|0|0||||||| 
|B|800845|20095318|GRNFIELDS YOG BLU250|52|0|0|8500.000000|0|F0GE|11-05-2020|||0|0|0|0||12||||2|||G009|0||||0|0|0||||||| 
|B|800845|20095319|GRNFIELDS YOG LYC250|52|0|0|8500.000000|0|F0GE|11-05-2020|||0|0|0|0||6||||2|||G009|0||||0|0|0||||||| 
|B|800845|20096560|YC ADD TOP SAUS CHL|73|0|0|1000.000000|0|F0GE|11-05-2020|||0|0|0|0||1||||250|||G009|0||||0|0|0||||||| 
|B|800845|20096561|YC ADD TOP SAUS BBQ|73|0|0|1000.000000|0|F0GE|11-05-2020|||0|0|0|0||1||||250|||G009|0||||0|0|0||||||| 
|B|800845|20096657|KNVRS SOSIS BKR RNDG|73|0|0|10000.000000|0|F0GE|11-05-2020||Z|0|0|0|0||120||||144|||G009|0||||0|0|0||||||| 
|B|800845|20096712|WG CO PUD COCONT 120|36|0|0|4500.000000|0|F0GE|11-05-2020|||0|0|0|0||8||||2|||G009|0||||0|0|0||||||| 
|B|800845|20097516|YOFORIA ACTIV8 170ML|52|0|0|6900.000000|0|F0GE|11-05-2020|||0|0|0|0||6||||2|||G009|0||||0|0|0||||||| 
|B|800845|20097999|YOFORIA LYCH BLS 200|52|0|0|8800.000000|0|F0GE|11-05-2020|||0|0|0|0||6||||2|||G009|0||||0|0|0||||||| 
|B|800845|20098403|KONVERSI BAKSO KEJU|73|40|0|3000.000000|120000|F0GE|11-05-2020||Z|0|0|0|0||40||||1|||G009|0||||0|0|0||||||| 
|B|800845|20098404|KONVERSI BAKSO PEDAS|73|40|0|3000.000000|120000|F0GE|11-05-2020||Z|0|0|0|0||40||||1|||G009|0||||0|0|0||||||| 
|B|800845|20099158|YOYIC STRAWBERRY 130|52|0|0|6000.000000|0|F0GE|11-05-2020|||0|0|0|0||6||||2|||G009|0||||0|0|0||||||| 
|B|800845|20099159|YOYIC BLUEBERRY 130|52|0|0|6000.000000|0|F0GE|11-05-2020|||0|0|0|0||6||||2|||G009|0||||0|0|0||||||| 
|B|800845|20099900|CIMORY YOG.TAYO 4'S|52|0|0|10000.000000|0|F0GE|11-05-2020|||0|0|0|0||10||||2|||G009|0||||0|0|0||||||| 
|B|800845|20102567|CIMORY SQZE STRW 120|52|0|0|10000.000000|0|F0GE|11-05-2020|||0|0|0|0||8||||2|||G009|0||||0|0|0||||||| 
|B|800845|20102569|CMORY SQZE BLUBR 120|52|0|0|10000.000000|0|F0GE|11-05-2020|||0|0|0|0||8||||2|||G009|0||||0|0|0||||||| 
|B|800845|20102570|CIMORY SQZE ORGN 120|52|0|0|10000.000000|0|F0GE|11-05-2020|||0|0|0|0||8||||2|||G009|0||||0|0|0||||||| 
|B|800845|20103177|CMORY LOW FAT T/F250|52|0|0|9000.000000|0|F0GE|11-05-2020|||0|0|0|0||8||||2|||G009|0||||0|0|0||||||| 
|B|800845|20103268|CMORY LOW.F BNNA 250|52|0|0|9000.000000|0|F0GE|11-05-2020|||0|0|0|0||8||||2|||G009|0||||0|0|0||||||| 
|B|800845|20103269|CMORY LOW.F ST&M 250|52|2|0|9000.000000|18000|F0GE|11-05-2020|||0|0|0|0||8||||2|||G009|0||||0|0|0||||||| 
|B|800844|20103854|JERUK SIAM HIJAU PRS|32|10|0|17900.000000|179000|F0GE|11-05-2020||P|0|0|0|0||10||||1|||G009|0||||0|0|0||||||| 
